run_id,run_name,state,lr_rew,gradient_steps_rew,batch_size_rew,fragment_length,fragmenter_type,labels_type,net_arch,total_queries,successes,timeouts,collisions,ep_length,ep_avg_speed,ep_env_return,ep_fast_return,spearman_seg1,spearman_seg5,spearman_seg20,spearman_segNone,acc_val,acc_train,acc_gap,loss_val,mean_true_reward,mean_model_reward,time_train_rew_model
3m98ljkk,ppo_chri binary_bernulli seg2 tot_queries=50000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[128, 128]",50000,0.3333333333333333,0.6666666666666666,0.0,464.1666666666667,6.9451819914814354,0.7141386270523069,-54.19293844599503,0.5937652106248312,0.3722488686980036,0.2564801119945672,0.07039381153305203,0.5097000002861023,0.5098000168800354,0.00010001659393310548,0.690570056438446,-76.71090851818711,0.7599003911018372,8.939628448104486
yxvifeij,ppo_chri binary_bernulli seg2 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[128, 128]",10000,0.0,0.5,0.5,343.1666666666667,5.5819125880156175,-3.801312834024429,-85.86600954245894,0.8239147911753852,0.41344637195311856,-0.1160194306474571,-0.28544303797468357,0.501960813999176,0.5312814116477966,0.029320597648620605,0.692877471446991,-91.45954033949882,2.3731589317321777,8.400055263889953
a36v8d15,ppo_chri soft seg2 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,soft,"[32, 32]",10000,0.8928571428571426,0.0,0.10714285714285714,145.32142857142858,23.065332917038827,0.03859097404139376,47.63469784299286,0.8153185803711116,0.7184219999129592,0.7154151506046258,0.6403891233005158,0.9495097994804382,0.9522613286972046,0.0027515292167663574,0.6888707280158997,49.41869716447402,0.00023111655900720507,6.657147363992408
h41u732b,ppo_chri binary_bernulli seg2 tot_queries=100000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[32, 32]",100000,0.8500000000000001,0.0,0.15,186.7000000000001,15.47779038523247,-1.422776594758034,34.841927516046916,0.8064226601568633,0.813800825962192,0.919814335807568,0.9049929676511956,0.503600001335144,0.5113124847412109,0.0077124834060668945,0.6900062561035156,36.67692987564689,0.6372413635253906,6.466314839897677
wtfega1m,ppo_chri binary_bernulli seg2 tot_queries=50000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[32, 32]",50000,0.0,1.0,0.0,600.0,0.7111835601516306,1.5315504409372809,-111.28002094938398,0.5872260962253837,0.26239686730695927,0.025623407927208117,0.0572667604313174,0.5023000240325928,0.5063499808311462,0.004049956798553467,0.6904327869415283,-92.96059405580957,-0.6912515163421631,7.802346729906276
m7dsoosx,ppo_chri binary_bernulli seg2 tot_queries=10000 fragmenter_type=random seed=0,finished,0.0003,100,100,2.0,random,binary_bernulli,"[32, 32]",10000,0.027777777777777776,0.0,0.2222222222222222,102.3333333333333,13.059806187646592,0.07237555583318067,-39.32750806901347,0.8564332621576376,0.8460261615987731,0.7164652902737736,0.9151898734177216,0.5014705657958984,0.5374372005462646,0.03596663475036621,0.6891857981681824,-37.98702066686578,0.07559658586978912,6.941944798920304
lpw3zdfw,ppo_chri soft seg25 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,25.0,active,soft,"[128, 128]",10000,0.5555555555555556,0.0,0.2777777777777778,199.83333333333337,14.474349222579482,0.180245300134023,-0.851953139979047,0.8556567423227034,0.6850376091556437,0.7264026119429673,0.6806141584622598,0.8303921818733215,0.8278894424438477,-0.002502739429473877,0.6909443140029907,-3.882268478840629,-0.18129970133304596,10.925802541198207
fvbosjht,ppo_chri binary_bernulli seg25 tot_queries=100000 fragmenter_type=active seed=0,finished,0.0003,100,100,25.0,active,binary_bernulli,"[128, 128]",100000,0.0,0.21428571428571427,0.14285714285714285,282.0,1.7956755916067588,0.18830507142203193,-91.8583270788678,0.440286746407799,0.4948324600162846,0.6298017639775817,0.8003984997655884,0.5051913261413574,0.5059189200401306,0.0007275938987731934,0.6931610703468323,-82.26256707013702,-0.20121167600154877,13.045896363910288
ng5xu5gi,ppo_chri binary_bernulli seg25 tot_queries=50000 fragmenter_type=active seed=0,finished,0.0003,100,100,25.0,active,binary_bernulli,"[128, 128]",50000,0.0,0.3125000000000001,0.6875,243.81250000000003,4.950168368650002,0.2524658967740835,-80.970380204334,0.4902496673660776,-0.1021409818313406,-0.47744750077760817,-0.6140881387716831,0.49869999289512634,0.5046250224113464,0.005925029516220093,0.693120539188385,-91.02502763412116,0.08518374711275101,11.95843549608253
lxgfugh0,ppo_chri binary_bernulli seg25 tot_queries=10000 fragmenter_type=active seed=0,finished,0.0003,100,100,25.0,active,binary_bernulli,"[128, 128]",10000,0.0,0.6153846153846154,0.38461538461538464,373.0,6.0932644103832745,2.4845714385692896,-91.71402034163104,0.539136359079447,-0.09253223471644494,-0.4502038773608576,-0.4963666197843414,0.5034313797950745,0.5150753855705261,0.01164400577545166,0.6954169869422913,-100.484168945915,-0.31460657715797424,11.758392826188356
