method,budget,seed,mean_return,success_rate,collision_rate,off_road_rate,timeout_rate,other_rate,mean_speed,mean_ep_length,run_name
Demo-only,100,9,47.38140241040494,0.905,0.09,0.005,0.0,0.0,21.305247596510227,166.31,th_1mh4_demo_only_B100-seed9
Demo-only,100,10,43.31257606454199,0.87,0.11,0.02,0.0,0.0,20.850570566566685,164.6,th_1mh4_demo_only_B100-seed10
Demo-only,1000,1,43.93191183609191,0.895,0.095,0.01,0.0,0.0,19.583422627859658,173.955,th_1mh4_demo_only_B1000-seed1
Demo-only,1000,2,47.42646302856805,0.92,0.07,0.01,0.0,0.0,20.859302962785677,173.15,th_1mh4_demo_only_B1000-seed2
Demo-only,1000,3,25.977628397394227,0.63,0.33,0.04,0.0,0.0,21.961127341799564,137.745,th_1mh4_demo_only_B1000-seed3
Demo-only,1000,4,45.12924795145675,0.855,0.14,0.005,0.0,0.0,22.86117350813013,147.365,th_1mh4_demo_only_B1000-seed4
Demo-only,1000,5,30.919163479355447,0.73,0.255,0.015,0.0,0.0,19.814091958833025,167.155,th_1mh4_demo_only_B1000-seed5
Demo-only,1000,6,42.07723963620355,0.825,0.165,0.01,0.0,0.0,22.197650317190675,150.69,th_1mh4_demo_only_B1000-seed6
Demo-only,1000,7,42.95204092928987,0.91,0.06,0.03,0.0,0.0,18.61507531557355,187.29,th_1mh4_demo_only_B1000-seed7
Demo-only,1000,8,40.00300396707935,0.83,0.075,0.095,0.0,0.0,20.825231233462937,165.215,th_1mh4_demo_only_B1000-seed8
Demo-only,1000,9,46.19939432036985,0.905,0.08,0.015,0.0,0.0,20.583080198558072,168.61,th_1mh4_demo_only_B1000-seed9
Demo-only,1000,10,47.121944219267974,0.895,0.095,0.01,0.0,0.0,21.656519703495995,157.17,th_1mh4_demo_only_B1000-seed10
Pref-soft,10,1,-96.59273082250294,0.02,0.225,0.0,0.755,0.0,2.982752394639037,457.345,th_1mh4_pref_soft_B10-seed1
Pref-soft,10,2,-47.957486964509606,0.0,0.47,0.53,0.0,0.0,15.14147406464751,5.57,th_1mh4_pref_soft_B10-seed2
Pref-soft,10,3,-48.139644116910155,0.0,0.95,0.05,0.0,0.0,19.930860953712532,9.28,th_1mh4_pref_soft_B10-seed3
Pref-soft,10,4,-47.42220804234333,0.0,0.26,0.74,0.0,0.0,13.14189715440506,12.39,th_1mh4_pref_soft_B10-seed4
Pref-soft,10,5,-82.44903441913335,0.0,0.24,0.265,0.495,0.0,6.160971818016789,298.35,th_1mh4_pref_soft_B10-seed5
Pref-soft,10,6,-40.12632838540476,0.05,0.485,0.465,0.0,0.0,13.18738615658765,48.54,th_1mh4_pref_soft_B10-seed6
Pref-soft,10,7,-48.091488767088464,0.0,0.975,0.025,0.0,0.0,20.19470579524874,10.715,th_1mh4_pref_soft_B10-seed7
Pref-soft,10,8,-73.98116404054282,0.06,0.135,0.335,0.47,0.0,2.917886593352076,330.33,th_1mh4_pref_soft_B10-seed8
Pref-soft,10,9,-44.43176741997666,0.005,0.44,0.555,0.0,0.0,16.305622722951547,11.86,th_1mh4_pref_soft_B10-seed9
Pref-soft,10,10,-48.24352562046957,0.0,0.085,0.915,0.0,0.0,12.292880138522278,17.365,th_1mh4_pref_soft_B10-seed10
Pref-soft,100,1,47.77539164385251,0.9,0.06,0.04,0.0,0.0,22.12616839390809,158.85,th_1mh4_pref_soft_B100-seed1
Pref-soft,100,2,34.37009168936282,0.785,0.17,0.045,0.0,0.0,19.981288783253156,141.625,th_1mh4_pref_soft_B100-seed2
Pref-soft,100,3,40.58430712143215,0.8,0.17,0.03,0.0,0.0,23.118610746897293,131.375,th_1mh4_pref_soft_B100-seed3
Pref-soft,100,4,-108.80128127151056,0.0,0.125,0.005,0.86,0.01,2.114538532303627,533.615,th_1mh4_pref_soft_B100-seed4
Pref-soft,100,5,27.470394083038038,0.89,0.11,0.0,0.0,0.0,13.727592230945993,249.26,th_1mh4_pref_soft_B100-seed5
Pref-soft,100,6,27.70883156689484,0.885,0.115,0.0,0.0,0.0,14.948577247715026,242.18,th_1mh4_pref_soft_B100-seed6
Pref-soft,100,7,40.602201250831996,0.895,0.095,0.01,0.0,0.0,18.267405504746026,182.615,th_1mh4_pref_soft_B100-seed7
Pref-soft,100,8,44.236983014643954,0.86,0.14,0.0,0.0,0.0,22.103357052985057,140.775,th_1mh4_pref_soft_B100-seed8
Pref-soft,100,9,41.35067631274693,0.885,0.095,0.0,0.02,0.0,19.36252374919119,183.355,th_1mh4_pref_soft_B100-seed9
Pref-soft,100,10,-79.8610987656019,0.0,0.025,0.075,0.9,0.0,3.7286287968568024,547.275,th_1mh4_pref_soft_B100-seed10
Pref-soft,1000,1,43.97422753653015,0.835,0.16,0.005,0.0,0.0,23.809612767590217,140.62,th_1mh4_pref_soft_B1000-seed1
Pref-soft,1000,2,47.91793981962041,0.89,0.095,0.015,0.0,0.0,23.189509555511812,145.0,th_1mh4_pref_soft_B1000-seed2
Pref-soft,1000,3,41.8556102427356,0.83,0.15,0.02,0.0,0.0,22.423304169029233,143.075,th_1mh4_pref_soft_B1000-seed3
Pref-soft,1000,4,42.44132834999169,0.84,0.14,0.02,0.0,0.0,22.465307020959017,140.255,th_1mh4_pref_soft_B1000-seed4
Pref-soft,1000,5,48.40424378796301,0.915,0.08,0.005,0.0,0.0,22.150865759499084,159.26,th_1mh4_pref_soft_B1000-seed5
Pref-soft,1000,6,41.727851856706785,0.815,0.14,0.045,0.0,0.0,23.954743662303844,135.365,th_1mh4_pref_soft_B1000-seed6
Pref-soft,1000,7,45.34034001708764,0.87,0.11,0.02,0.0,0.0,22.461286512271236,151.475,th_1mh4_pref_soft_B1000-seed7
Pref-soft,1000,8,47.373511471057974,0.885,0.085,0.03,0.0,0.0,23.63392745383193,142.84,th_1mh4_pref_soft_B1000-seed8
Pref-soft,1000,9,44.392726552504655,0.845,0.135,0.02,0.0,0.0,23.629862000296857,143.35,th_1mh4_pref_soft_B1000-seed9
Pref-soft,1000,10,47.382856959082744,0.88,0.115,0.005,0.0,0.0,23.60675118588514,146.955,th_1mh4_pref_soft_B1000-seed10
Pref-Bernoulli,10,1,-27.50462484351494,0.33,0.205,0.465,0.0,0.0,10.063320064306252,153.705,th_1mh4_pref_bern_B10-seed1
Pref-Bernoulli,10,2,-49.33737592097159,0.0,0.19,0.81,0.0,0.0,12.012361284119548,4.245,th_1mh4_pref_bern_B10-seed2
Pref-Bernoulli,10,3,-49.87890663151759,0.0,0.195,0.805,0.0,0.0,9.10968101578431,4.05,th_1mh4_pref_bern_B10-seed3
Pref-Bernoulli,10,4,-49.43915896562972,0.0,0.23,0.77,0.0,0.0,8.795245935564308,2.64,th_1mh4_pref_bern_B10-seed4
Pref-Bernoulli,10,5,-49.57542120266168,0.0,0.335,0.665,0.0,0.0,11.263711616988902,6.61,th_1mh4_pref_bern_B10-seed5
Pref-Bernoulli,10,6,-50.3977865188971,0.0,0.08,0.92,0.0,0.0,6.678552828742679,4.55,th_1mh4_pref_bern_B10-seed6
Pref-Bernoulli,10,7,-47.77039559649618,0.0,0.49,0.51,0.0,0.0,12.423524547703488,10.4,th_1mh4_pref_bern_B10-seed7
Pref-Bernoulli,10,8,-49.809767620776,0.0,0.165,0.835,0.0,0.0,10.101223083413878,3.855,th_1mh4_pref_bern_B10-seed8
Pref-Bernoulli,10,9,-49.21742890744647,0.0,0.3,0.7,0.0,0.0,6.793480239345747,11.13,th_1mh4_pref_bern_B10-seed9
Pref-Bernoulli,10,10,-49.41399858545099,0.0,0.32,0.68,0.0,0.0,12.624158730905629,3.26,th_1mh4_pref_bern_B10-seed10
Pref-Bernoulli,100,1,-48.2165530641708,0.0,0.13,0.87,0.0,0.0,10.531353491167755,4.43,th_1mh4_pref_bern_B100-seed1
Pref-Bernoulli,100,2,-49.326763944873626,0.0,0.115,0.885,0.0,0.0,5.735192236640131,3.225,th_1mh4_pref_bern_B100-seed2
Pref-Bernoulli,100,3,-49.793494153332375,0.0,0.12,0.88,0.0,0.0,5.458875184679116,3.135,th_1mh4_pref_bern_B100-seed3
Pref-Bernoulli,100,4,-49.84073740779793,0.0,0.25,0.75,0.0,0.0,10.067719086750618,6.925,th_1mh4_pref_bern_B100-seed4
Pref-Bernoulli,100,5,-49.343869666125414,0.0,0.295,0.705,0.0,0.0,11.306489739343167,3.845,th_1mh4_pref_bern_B100-seed5
Pref-Bernoulli,100,6,-49.01216197203462,0.0,0.225,0.775,0.0,0.0,10.63567488683753,7.92,th_1mh4_pref_bern_B100-seed6
Pref-Bernoulli,100,7,-49.83276400979648,0.0,0.155,0.845,0.0,0.0,6.14165641019542,6.04,th_1mh4_pref_bern_B100-seed7
Pref-Bernoulli,100,8,-52.44942596575025,0.0,0.17,0.83,0.0,0.0,8.767958464566393,14.665,th_1mh4_pref_bern_B100-seed8
Pref-Bernoulli,100,9,-49.77501480375031,0.0,0.11,0.89,0.0,0.0,5.134362436041254,2.17,th_1mh4_pref_bern_B100-seed9
Pref-Bernoulli,100,10,-49.595843922698805,0.0,0.275,0.725,0.0,0.0,8.081943855433247,4.995,th_1mh4_pref_bern_B100-seed10
Pref-Bernoulli,1000,1,-48.662194044923346,0.0,0.295,0.705,0.0,0.0,12.45358080200031,9.865,th_1mh4_pref_bern_B1000-seed1
Pref-Bernoulli,1000,2,-48.67352057180353,0.0,0.11,0.89,0.0,0.0,8.052364675368597,9.22,th_1mh4_pref_bern_B1000-seed2
Pref-Bernoulli,1000,3,-49.95217496809297,0.0,0.16,0.84,0.0,0.0,8.881349020643517,2.995,th_1mh4_pref_bern_B1000-seed3
Pref-Bernoulli,1000,4,-48.69450187652354,0.0,0.425,0.575,0.0,0.0,15.26661187581914,8.975,th_1mh4_pref_bern_B1000-seed4
Pref-Bernoulli,1000,5,-48.91808985908155,0.0,0.195,0.805,0.0,0.0,8.999973211856368,7.335,th_1mh4_pref_bern_B1000-seed5
Pref-Bernoulli,1000,6,-49.63904989082876,0.0,0.275,0.725,0.0,0.0,10.189935415053498,6.725,th_1mh4_pref_bern_B1000-seed6
Pref-Bernoulli,1000,7,-46.21847414930401,0.005,0.335,0.66,0.0,0.0,12.967634675897814,9.295,th_1mh4_pref_bern_B1000-seed7
Pref-Bernoulli,1000,8,-49.70234652820318,0.0,0.07,0.93,0.0,0.0,5.613926009531092,4.06,th_1mh4_pref_bern_B1000-seed8
Pref-Bernoulli,1000,9,-48.44404482288828,0.0,0.34,0.66,0.0,0.0,13.554607231511472,11.15,th_1mh4_pref_bern_B1000-seed9
Pref-Bernoulli,1000,10,-49.609058735059136,0.0,0.185,0.815,0.0,0.0,9.272353115050588,4.17,th_1mh4_pref_bern_B1000-seed10
Hybrid-soft,10,1,46.70263347665789,0.9,0.075,0.025,0.0,0.0,21.395000329606283,164.845,th_1mh4iq5_hybrid_soft_B10-seed1
Hybrid-soft,10,2,45.4019673192995,0.875,0.115,0.01,0.0,0.0,22.05324154431959,154.24,th_1mh4iq5_hybrid_soft_B10-seed2
Hybrid-soft,10,3,40.16807719324453,0.835,0.145,0.02,0.0,0.0,20.41964311002535,162.41,th_1mh4iq5_hybrid_soft_B10-seed3
Hybrid-soft,10,4,45.32713820185842,0.895,0.065,0.04,0.0,0.0,20.745740004068804,170.695,th_1mh4iq5_hybrid_soft_B10-seed4
Hybrid-soft,10,5,46.66713140744253,0.87,0.13,0.0,0.0,0.0,23.635206451585418,151.425,th_1mh4iq5_hybrid_soft_B10-seed5
Hybrid-soft,10,6,23.529693666837403,0.735,0.26,0.005,0.0,0.0,17.478043250236798,196.58,th_1mh4iq5_hybrid_soft_B10-seed6
Hybrid-soft,10,7,46.3168244196197,0.905,0.095,0.0,0.0,0.0,21.320550134738486,163.685,th_1mh4iq5_hybrid_soft_B10-seed7
Hybrid-soft,10,8,45.91654577514686,0.855,0.12,0.025,0.0,0.0,23.470987483787,150.84,th_1mh4iq5_hybrid_soft_B10-seed8
Hybrid-soft,10,9,42.983554862632246,0.855,0.14,0.005,0.0,0.0,22.5146303564342,148.765,th_1mh4iq5_hybrid_soft_B10-seed9
Hybrid-soft,10,10,44.96364755907729,0.875,0.07,0.055,0.0,0.0,21.096387582086926,156.435,th_1mh4iq5_hybrid_soft_B10-seed10
Hybrid-soft,100,1,48.399449274933694,0.915,0.075,0.01,0.0,0.0,21.812038790611705,159.495,th_1mh4_hybrid_soft_B100-seed1
Hybrid-soft,100,2,43.879328925006156,0.935,0.05,0.015,0.0,0.0,19.43447713678273,198.56,th_1mh4_hybrid_soft_B100-seed2
Hybrid-soft,100,3,49.40300380381051,0.945,0.03,0.025,0.0,0.0,20.952968126037998,173.35,th_1mh4_hybrid_soft_B100-seed3
Hybrid-soft,100,4,50.625606645532606,0.93,0.065,0.005,0.0,0.0,22.93556944237712,158.21,th_1mh4_hybrid_soft_B100-seed4
Hybrid-soft,100,5,51.06561622338083,0.94,0.045,0.015,0.0,0.0,22.417579383133006,164.34,th_1mh4_hybrid_soft_B100-seed5
Hybrid-soft,100,6,44.42162853178044,0.97,0.03,0.0,0.0,0.0,19.50222710117994,213.4,th_1mh4_hybrid_soft_B100-seed6
Hybrid-soft,100,7,47.158693247472144,0.91,0.07,0.02,0.0,0.0,20.67295787650164,160.06,th_1mh4_hybrid_soft_B100-seed7
Hybrid-soft,100,8,49.306936788079184,0.92,0.06,0.02,0.0,0.0,22.889544410153775,158.17,th_1mh4_hybrid_soft_B100-seed8
Hybrid-soft,100,9,48.38042547521864,0.92,0.07,0.01,0.0,0.0,21.98842607641235,163.32,th_1mh4_hybrid_soft_B100-seed9
Hybrid-soft,100,10,49.27523461833194,0.94,0.06,0.0,0.0,0.0,20.631568081096503,169.755,th_1mh4_hybrid_soft_B100-seed10
Hybrid-soft,1000,1,51.75326892012649,0.955,0.035,0.01,0.0,0.0,21.681843340811483,169.655,th_1mh4_hybrid_soft_B1000-seed1
Hybrid-soft,1000,2,48.79689171538179,0.915,0.075,0.01,0.0,0.0,22.089429606253535,157.99,th_1mh4_hybrid_soft_B1000-seed2
Hybrid-soft,1000,3,51.89247979082304,0.955,0.045,0.0,0.0,0.0,21.85642260234629,167.335,th_1mh4_hybrid_soft_B1000-seed3
Hybrid-soft,1000,4,50.26314565317771,0.935,0.06,0.005,0.0,0.0,21.83050708743847,165.71,th_1mh4_hybrid_soft_B1000-seed4
Hybrid-soft,1000,5,48.73787675492873,0.905,0.095,0.0,0.0,0.0,23.125107895154407,157.32,th_1mh4_hybrid_soft_B1000-seed5
Hybrid-soft,1000,6,46.417785662912955,0.89,0.105,0.005,0.0,0.0,21.57348543093843,162.105,th_1mh4_hybrid_soft_B1000-seed6
Hybrid-soft,1000,7,48.40499666980945,0.94,0.06,0.0,0.0,0.0,21.00372261505011,176.135,th_1mh4_hybrid_soft_B1000-seed7
Hybrid-soft,1000,8,49.86335483682646,0.93,0.065,0.005,0.0,0.0,22.096604258524934,163.985,th_1mh4_hybrid_soft_B1000-seed8
Hybrid-soft,1000,9,49.512319364360685,0.915,0.085,0.0,0.0,0.0,22.658706290237223,154.455,th_1mh4_hybrid_soft_B1000-seed9
Hybrid-soft,1000,10,50.50894361701875,0.935,0.055,0.01,0.0,0.0,21.936525472851553,164.695,th_1mh4_hybrid_soft_B1000-seed10
Hybrid-Bernoulli,10,1,43.840646298445165,0.855,0.125,0.02,0.0,0.0,21.9038511918738,152.865,th_1mh4iq5_hybrid_bern_B10-seed1
